"회계년도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","세부사업명","경비구분","정부안금액(천원)","국회확정금액(천원)"
"2011","여성가족부","광역지역발전특별회계","제주특별자치도계정","사회복지","노인・청소년","청소년정책및역량강화","청소년시설확충","청소년시설확충(제주특별자치도계정)","주요사업비(기금사업비)","945000","945000"
"2011","여성가족부","광역지역발전특별회계","지역개발계정","사회복지","노인・청소년","청소년정책및역량강화","청소년시설확충","청소년시설확충(지역개발계정)","주요사업비(기금사업비)","48472000","48472000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","다문화가족지원","결혼이민자 현지사전정보제공 및 국제결혼중개업 관리","주요사업비(기금사업비)","994000","994000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","다문화가족지원","글로벌다문화센터 건립","주요사업비(기금사업비)","1785000","1785000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","다문화가족지원","다문화가족언어및교육지원","주요사업비(기금사업비)","33708000","33708000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","다문화가족지원","다문화가족지원","주요사업비(기금사업비)","1489000","1489000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","다문화가족지원","다문화가족지원센터운영지원","주요사업비(기금사업비)","11378000","12858000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","다문화가족지원","이주가정 자녀대상 한국어 방문학습 교재개발","주요사업비(기금사업비)","750000","750000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","다문화가족지원","폭력피해이주여성지원사업","주요사업비(기금사업비)","4770000","4770000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","다문화가족지원","학교다문화교육역량강화","주요사업비(기금사업비)","600000","600000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","가족기능강화","한부모가족지원","한부모가족자녀 양육교육비 지원","주요사업비(기금사업비)","65468000","65468000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","기금간거래(전출금)","복권기금전출(여성발전기금)","여성발전기금에서 복권기금으로의 전출","주요사업비(기금사업비)","413000","413000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","성평등정책 기반강화","국제네트워크 활성화추진(기금)","국제개발협력","주요사업비(기금사업비)","1599000","900000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","여성・아동폭력예방및보호지원","가정폭력・성폭력피해회복및재발방지사업","가정폭력・성폭력피해회복및재발방지사업(보조)","주요사업비(기금사업비)","2902000","2902000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","여성・아동폭력예방및보호지원","성매매방지중앙지원센터운영(기금)","성매매방지중앙지원센터운영","주요사업비(기금사업비)","1254000","1254000"
"2011","여성가족부","여성발전기금",,"사회복지","보육・가족및여성","여성가족부행정지원","여성발전기금 기금운영비","기금관리비","기본경비(경상운영비)","13000","13000"
