"회계년도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","세부사업명","경비구분","정부안금액(천원)","국회확정금액(천원)"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","기금간거래(전출금)","복권기금전출(여성발전기금)","여성발전기금에서 복권기금으로의 전출","주요사업비(기금사업비)","310000","310000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성권익증진","가정폭력・성폭력방지및피해자보호(기금)","가정폭력・성폭력피해자무료법률지원","주요사업비(기금사업비)","1534682","1534682"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성권익증진","가정폭력・성폭력피해회복및재발방지사업","가정폭력・성폭력피해회복및재발방지사업(보조)","주요사업비(기금사업비)","6184000","6289000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성권익증진","국제전문여성인력양성","국제전문여성인력양성","주요사업비(기금사업비)","319928","319928"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성권익증진","국제회의및세계한민족여성네트워크","국제협력여성단체지원","주요사업비(기금사업비)","1800000","1436000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성권익증진","성매매방지중앙지원센터운영(기금)","성매매방지중앙지원센터운영","주요사업비(기금사업비)","1254000","1254000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성권익증진","여성・아동폭력예방및재발방지","여성・아동폭력예방및재발방지","주요사업비(기금사업비)","0","600000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성권익증진","여성자원활동지원","여성자원활동활성화지원","주요사업비(기금사업비)","140000","140000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성부행정지원","여성발전기금 기금운영비","기금관리비","기본경비(경상운영비)","12000","12000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성부행정지원","여성발전기금 기금운영비","사업운영비","기본경비(경상운영비)","52000","52000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성정책및인력개발","여성인력개발및활용(기금)","여대생커리어개발지원","주요사업비(기금사업비)","1000000","1000000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여성정책및인력개발","여성창업지원(기금)","여성기술인창업자금지원","주요사업비(기금사업비)","60000","60000"
"2010","여성부","여성발전기금",,"사회복지","보육・가족및여성","여유자금운용","여유자금운용(여성발전기금)","비통화금융기관예치","주요사업비(기금사업비)","1036437","800437"
