"회계년도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","세부사업명","경비구분","정부안금액(천원)","국회확정금액(천원)"
"2021","여성가족부","국가균형발전특별회계","지역지원계정","사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","가족친화환경조성","가족센터 건립","주요사업비(기금사업비)","45612000","45178000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","가족서비스지원","건강가정 및 다문화가족 지원","주요사업비(기금사업비)","92526000","92526000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","한부모가족지원(기금)","청소년한부모 아동양육 및 자립지원","주요사업비(기금사업비)","4485000","5895000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","한부모가족지원(기금)","한부모가족 복지시설지원","주요사업비(기금사업비)","5259000","5495000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","한부모가족지원(기금)","한부모가족자녀 양육비 등 지원","주요사업비(기금사업비)","262589000","306669000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","기금간거래(전출금)","복권기금전출(양성평등기금)","복권기금 전출","주요사업비(기금사업비)","11183000","11183000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","여성・아동인권보호","가정폭력・성폭력피해회복및재발방지사업","가정폭력 피해자 지원","주요사업비(기금사업비)","33145000","33145000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","여성・아동인권보호","가정폭력・성폭력피해회복및재발방지사업","가정폭력・성폭력 재발방지사업","주요사업비(기금사업비)","1329000","1329000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","여성・아동인권보호","가정폭력・성폭력피해회복및재발방지사업","성희롱 등 직장내 여성폭력 방지 및 지원","주요사업비(기금사업비)","500000","500000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","여성・아동인권보호","가정폭력・성폭력피해회복및재발방지사업","폭력피해이주여성지원사업","주요사업비(기금사업비)","6410000","6410000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","여성・아동인권보호","성매매방지 및 피해자 지원(기금)","성매매방지 및 피해자 지원","주요사업비(기금사업비)","15702000","15702000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","여성가족부행정지원","양성평등기금 기금운영비","기금관리비","기본경비(경상운영비)","3000","3000"
"2021","여성가족부","양성평등기금",,"사회복지","여성・가족・청소년","여유자금운용","여유자금운용(양성평등기금)","비통화금융기관예치","주요사업비(기금사업비)","40196000","40196000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","가족정책 기반구축","가족서비스 기반 구축","주요사업비(기금사업비)","4247000","4247000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","가족정책 기반구축","가족역량강화 지원","주요사업비(기금사업비)","5917000","5917000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","아이돌봄지원","아이돌봄지원","주요사업비(기금사업비)","250281000","251493000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","가족정책 및 돌봄 지원","한국건강가정진흥원 운영","한국건강가정진흥원 지원","주요사업비(기금사업비)","20113000","20113000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","성평등정책기반강화및여성경제활동지원","양성평등문화확산 및 국내협력네트워크 강화","양성평등문화확산","주요사업비(기금사업비)","514000","514000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","성평등정책기반강화및여성경제활동지원","양성평등문화확산 및 국내협력네트워크 강화","여성사전시관","주요사업비(기금사업비)","749000","749000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","성평등정책기반강화및여성경제활동지원","여성경제활동 촉진지원","여성경제활동 촉진지원","주요사업비(기금사업비)","70091000","70170000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","성평등정책기반강화및여성경제활동지원","여성인력개발및활용(예산)","미래 여성인재 양성","주요사업비(기금사업비)","527000","527000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","성평등정책기반강화및여성경제활동지원","정책협의및평가","성인지정책분석 평가 운영","주요사업비(기금사업비)","4438000","4438000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","성평등정책기반강화및여성경제활동지원","정책협의및평가","여성정책전략기반구축","주요사업비(기금사업비)","1265000","1265000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","성평등정책기반강화및여성경제활동지원","한국양성평등교육진흥원지원(예산)","한국양성평등교육진흥원지원","주요사업비(기금사업비)","10273000","10273000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","여성・아동인권보호","아동・여성안전정책 지원","아동・여성안전교육문화사업","주요사업비(기금사업비)","3376000","3376000"
"2021","여성가족부","일반회계",,"사회복지","여성・가족・청소년","여성・아동인권보호","아동・여성안전정책 지원","여성폭력방지정책 추진기반 구축","주요사업비(기금사업비)","1865000","1865000"
